"title", source, price, sold, size, url
"Girls Pink Metalic High Top Hightops Sneaker Boots Veja 34 3", eBay, $60.00, Available, Unknown, https://www.ebay.com/itm/224209006979?hash=item3433e5f183:g:XzcAAOSw-BJfljEh
"Veja Esplar Casual Sneaker White/Cobalt Men’s 7 EUR 40 E0022145 👀🔥🍟👨🏾‍🚀🤴", eBay, $144.99, Available, Unknown, https://www.ebay.com/itm/324348421577?hash=item4b84ac25c9:g:KMgAAOSwSqJflgk4
"Veja Esplar Casual Sneaker White/Cobalt Men’s 12 EUR 46 E0022145 👀🔥🧑🏼‍🚀", eBay, $144.99, Available, Unknown, https://www.ebay.com/itm/324348413823?hash=item4b84ac077f:g:-LEAAOSwbs5flgq6
"Veja Esplar Casual Sneaker White/Cobalt Men’s 11 EUR 44 E0022145 👀🔥🍟", eBay, $149.99, Available, Unknown, https://www.ebay.com/itm/324348409839?hash=item4b84abf7ef:g:-LEAAOSwbs5flgq6
"NEW Veja Nova High-Top Canvas Sneaker Women's White/Cali/Butter SZ 10. EU 41👀🔥", eBay, $109.99, Available, Unknown, https://www.ebay.com/itm/324348401703?hash=item4b84abd827:g:5wQAAOSwum1flgWY
"Veja V10 Women’s Casual Sneaker Butter/Natural/White Size 6 EUR 37 👀🔥🗳", eBay, $139.99, Available, Unknown, https://www.ebay.com/itm/324348367383?hash=item4b84ab5217:g:D~UAAOSwG8ZflfqZ
"Veja SP 1984 - Cover: Natalie Wood Guilherme Vergueiro Lea Freire & Pierre Malet", eBay, $60.00, Available, Unknown, https://www.ebay.com/itm/233754764877?hash=item366cdea64d:g:rCwAAOSwFq9fkh5f
"NIB Womens Veja V-10 Blk/white Leather SZ 37 US 6", eBay, $130.00, Available, Unknown, https://www.ebay.com/itm/224203663670?hash=item3433946936:g:E6MAAOSw0x9fkKqP
"New VEJA Women's V-10 Leather Low-Top Sneakers Sz 5 MSRP $150.00 ABFB", eBay, $119.00, Available, Unknown, https://www.ebay.com/itm/324342452271?hash=item4b8451102f:g:RE8AAOSwpRxfOE-H
"Veja Condor Running Shoes  Turquoise/Butter  44 EU (Men's 11 US)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/224197348691?hash=item3433340d53:g:Lx0AAOSwGY5figaA
"Veja Condor Running Shoes  Turquoise/Butter  44.5 EU (Men's 11 US)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/224197348580?hash=item3433340ce4:g:x2MAAOSwMjVfigaA
"Veja Condor Running Shoes  Turquoise/Butter  43.5 EU (Men's 10.5 US)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/324337124167?hash=item4b83ffc347:g:eWwAAOSwemRfigZ4
"Veja Condor Running Shoes  Black/White  44 EU (Men's 11 US)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/324337123282?hash=item4b83ffbfd2:g:YrMAAOSwi~dfigZG
"Veja Condor Running Shoes  Turquoise/Butter  41 EU (Men's 8/Women's 10 US)", eBay, $99.99, Available, Unknown, https://www.ebay.com/itm/324337122850?hash=item4b83ffbe22:g:nDEAAOSwzD9figY0
"JEAN VEJA 7" Un Wagon Pour Le Ciel DISQUES STAR France Chanson #1360", eBay, $16.00, Available, Unknown, https://www.ebay.com/itm/203131944789?hash=item2f4b9b7f55:g:bE4AAOSwSyJffhLK
"Veja X Rick Owens Sz US11", eBay, $220.00, Available, Unknown, https://www.ebay.com/itm/392966218250?hash=item5b7e9ca20a:g:fkYAAOSwslVfd4DP
"NEW Veja Esplar Womens High Top Sneakers Straps Metallic Pink Leather White US 6", eBay, $89.97, Available, Unknown, https://www.ebay.com/itm/284020992810?hash=item4220f86b2a:g:PQ4AAOSwVRBfapbi
"veja Vintage Old 29cm Canvas Size US 11 From Japan Sneakers 596", eBay, $164.38, Available, Unknown, https://www.ebay.com/itm/114421389643?hash=item1aa40bd94b:g:Fu4AAOSw7blfaNeE
"Veja Rare Men's Rio Branco Hexamesh Sneakers Tan Creme Red EU 45 US 11.5", eBay, $150.00, Available, Unknown, https://www.ebay.com/itm/174434930644?hash=item289d21cfd4:g:3kwAAOSw1K5fXpsz
"Veja Esplar logo Sneakers Marsala 44/11 Brand New", eBay, $145.00, Available, Unknown, https://www.ebay.com/itm/154072702923?hash=item23df72dfcb:g:JUYAAOSwixNfUXZB
